Collection,DOIs,Licenses,Subjects,Studies,Series,Images,File Size,Disk Space,Body Parts,Modalities,Manufacturers,Min DateReleased,Max DateReleased,UniqueDateReleased
APOLLO-5-UCEC,Not Specified,TCIA Embargo Attribution License,15,116,607,76920,44304911104,44.30 GB,"Not Specified, CHEST, ABDOMEN, PELVIS, ABDOMENPELVIS, WHOLEBODY, HEAD","CT, PT, US, MR","GE MEDICAL SYSTEMS, Siemens Healthineers, SIEMENS, SIEMENS / MIM Software, SAMSUNG MEDISON CO.,LTD., Philips Medical Systems, GE Healthcare",2022-10-06 10:11:13,2024-12-16 04:15:08,"2022-10-06, 2024-03-12, 2024-03-26, 2024-04-01, 2024-05-29, 2024-08-22, 2024-12-16"
APOLLO-5-US,Not Specified,TCIA Embargo Attribution License,1,29,147,18848,10358254788,10.36 GB,"Not Specified, CHEST, ABDOMEN","CT, PT","GE MEDICAL SYSTEMS, SIEMENS, Siemens Healthineers",2024-02-21 08:44:57,2024-02-21 12:08:33,2024-02-21
ARAR0331,"https://doi.org/10.7937/wtec-mn22, https://doi.org/10.25737/h65s-8f58",NCTN Data Archive License,108,803,9203,332245,127517260560,127.52 GB,"BRAIN, ABDOMEN, Not Specified, CHEST, HEAD, NECK, LSPINE, FACE, CHESTABDPELVIS, CSPINE, LIVER, HEADNECK, PELVIS, SPINE, CHESTABDOMEN, CORONARYSINUS, WHOLEBODY","MR, PT, CT, NM, RTIMAGE, RTSTRUCT","Philips Medical Systems, SIEMENS, GE MEDICAL SYSTEMS, Barco, SIEMENS / MIMvista, TOSHIBA, Philips, Not Specified, CPS, Siemens, PACSGEAR, TERARECON, SIEMENS NM, GE MEDICAL SYSTEMS, NUCLEAR, Varian Medical Systems, ICON DM, Philips Medical Systems, NM Division, Open Health Imaging Foundation",2022-09-15 17:47:22,2023-11-03 13:35:24,"2022-09-15, 2022-09-16, 2022-09-19, 2022-09-22, 2023-11-03"
AREN0532,"https://doi.org/10.7937/6pj1-m859, https://doi.org/10.7937/kja4-1z76",NCTN Data Archive License,544,1021,8434,474587,253977304962,253.98 GB,"ABDOMEN, Not Specified, CHEST, ABDOMENPELVIS, CHESTABDPELVIS, THORAX, NECKCHESTABDPELV, NECK, PELVIS, KIDNEY, CHESTABDOMEN, SPINE, TORSO, HEAD, RETROPERITONEUM","CT, MR, PT, RTIMAGE, CR, US, RTSTRUCT","SIEMENS, GE MEDICAL SYSTEMS, TOSHIBA, Philips, Marconi Medical Systems, Inc., Siemens, Philips Medical Systems, Picker International, Inc., TERARECON, Barco, Not Specified, PACS Support, FUJI PHOTO FILM Co., ltd., AMICAS-NSC, ACUSON, TOSHIBA_MEC, ATL, GE Medical Systems, Siemens Medical Systems - Ultrasound Division, GE Healthcare, ZONARE, Open Health Imaging Foundation",2022-03-23 14:35:18,2023-02-06 14:27:48,"2022-03-23, 2022-03-25, 2022-03-28, 2023-02-06"
AREN0533,"https://doi.org/10.7937/sjez-cj78, https://doi.org/10.7937/wfcc-da41",NCTN Data Archive License,294,845,7786,367107,199233598828,199.23 GB,"Not Specified, ABDOMEN, CHEST, CHESTABDPELVIS, HEAD, THORAX, PELVIS, CHESTABDOMEN, ABDOMENPELVIS, MR","CT, MR, CR, US, RTSTRUCT","GE MEDICAL SYSTEMS, SIEMENS, TOSHIBA, Philips, Philips Medical Systems, TERARECON, Barco, Philips Medical Systems, Inc., Toshiba, Siemens, FUJI PHOTO FILM Co., ltd., Agfa HealthCare Informatics, Not Specified, Varian Medical Systems, Vital Images, Inc, PACS Support, ACUSON, ATL, TOSHIBA_MEC, GE Healthcare, GE Medical Systems, Siemens Medical Systems - Ultrasound Division, G.E. Medical Systems, Open Health Imaging Foundation",2021-10-29 09:48:25,2023-01-19 14:08:15,"2021-10-29, 2021-11-05, 2021-11-08, 2021-11-09, 2021-11-11, 2021-11-18, 2021-11-19, 2022-01-06, 2022-01-07, 2023-01-19"
AREN0534,"https://doi.org/10.7937/tcia.5m9s-6y97, https://doi.org/10.7937/n930-bm78",NCTN Data Archive License,239,1176,15878,808574,361098956916,361.10 GB,"Not Specified, CHEST, ABDOMEN, CHESTABDPELVIS, LIVER, NECK, ABDOMENPELVIS, SPINE, CHESTABDOMEN, BRAIN, KIDNEY, PET","CT, MR, PT, US, OT, RTSTRUCT","Philips, SIEMENS, Philips Medical Systems, GE MEDICAL SYSTEMS, TOSHIBA, Siemens, Barco, Agfa HealthCare Informatics, TERARECON, Vital Images, Inc, PACSGEAR, Philips Healthcare, Siemens Healthcare, Vital Images, Inc., Toshiba, PACS Support, Not Specified, McKesson Medical Imaging Group, GE Healthcare, ACUSON, Open Health Imaging Foundation",2021-09-15 11:25:31,2023-02-07 08:48:44,"2021-09-15, 2021-09-24, 2021-10-04, 2021-10-08, 2021-10-13, 2021-10-14, 2021-10-15, 2021-10-18, 2021-10-21, 2021-10-22, 2023-02-07"
Adrenal-ACC-Ki67-Seg,https://doi.org/10.7937/1fpg-vm46,Creative Commons Attribution 4.0 International License,53,65,177,18255,9885015432,9.89 GB,"ADRENAL, ABDOMEN, ABDOMENPELVIS","CT, SEG","Philips, GE MEDICAL SYSTEMS, SIEMENS, QIICR, Unknown manufacturer, TOSHIBA",2022-01-14 12:47:25,2022-01-14 13:11:06,2022-01-14
Advanced-MRI-Breast-Lesions,https://doi.org/10.7937/c7x1-yn57,Creative Commons Attribution 4.0 International License,632,632,6811,1259688,645619221104,645.62 GB,BREAST,"MR, SEG","GE MEDICAL SYSTEMS, QIICR",2023-12-04 14:20:43,2024-04-12 10:36:14,"2023-12-04, 2023-12-05, 2024-01-03, 2024-01-04, 2024-04-12"
Anti-PD-1_Lung, https://doi.org/10.7937/tcia.2019.zjjwb9ip,Creative Commons Attribution 3.0 Unported License,46,86,677,134465,61237515488,61.24 GB,"Not Specified, ABDOMEN, CHESTABDPELVIS, CHEST, HEAD","PT, CT, SC","GE MEDICAL SYSTEMS, SIEMENS, Philips, Philips Medical Systems, TOSHIBA",2019-03-25 19:20:09,2019-04-02 15:32:59,"2019-03-25, 2019-03-26, 2019-03-27, 2019-04-02"
Anti-PD-1_MELANOMA,https://doi.org/10.7937/tcia.2019.1ae0qtcu,TCIA Limited Access License,47,179,1814,234113,98413175888,98.41 GB,Not Specified,"MR, CT, PT","SIEMENS, GE MEDICAL SYSTEMS",2018-07-17 16:08:41,2018-07-28 10:24:01,"2018-07-17, 2018-07-18, 2018-07-28"
Apollo2-Ovarian-Pilot,"Not Specified, https://doi.org/10.7937/k9/tcia.2020.85sp-0b40, Not Specified",Creative Commons Attribution 3.0 Unported License,89,257,1240,148510,81051472946,81.05 GB,"OVARY, Not Specified, ABDOMENPELVIS, CHEST","CT, PT, CR, DX, RTSTRUCT","GE MEDICAL SYSTEMS, MPTronic software, TOSHIBA, Philips Medical Systems, Philips, SIEMENS, FUJIFILM Corporation, Agfa, Carestream Health, Microsoft Corporation",2018-06-28 14:59:09,2024-05-02 18:11:35,"2018-06-28, 2021-01-28, 2024-05-02"
B-mode-and-CEUS-Liver,https://doi.org/10.7937/tcia.2021.v4z7-tc39,Creative Commons Attribution 4.0 International License,120,120,120,1859,272159479540,272.16 GB,LIVER,US,GE Healthcare,2021-07-16 08:49:58,2022-02-16 09:48:20,"2021-07-16, 2022-02-11, 2022-02-15, 2022-02-16"
BREAST-DIAGNOSIS,"https://doi.org/10.7937/k9/tcia.2015.sdnrqxxr, https://doi.org/10.7937/tcia.2019.wgllssg1",Creative Commons Attribution 3.0 Unported License,88,148,523,105144,60871104492,60.87 GB,"BREAST, Not Specified","MR, CT, PT, MG, SR","Philips Medical Systems, GE MEDICAL SYSTEMS, LORAD, Lorad, A Hologic Company, PixelMed",2011-06-19 05:19:50,2020-05-15 14:55:13,"2011-06-19, 2011-07-07, 2011-07-19, 2011-07-28, 2011-11-09, 2020-05-15"
Brain-TR-GammaKnife,https://doi.org/10.7937/xb6d-py67,TCIA Limited Access License,47,76,228,16792,9588341380,9.59 GB,"HEAD, BRAIN","MR, RTDOSE, RTSTRUCT","SIEMENS, Elekta, MIM Software Inc., MIM Software",2023-03-09 09:58:53,2023-03-09 11:32:00,2023-03-09
Brain-Tumor-Progression,https://doi.org/10.7937/k9/tcia.2018.15quzvnb,TCIA Limited Access License,20,40,383,8798,3160483188,3.16 GB,BRAIN,MR,"Imaging Biometrics LLC, GE MEDICAL SYSTEMS, SIEMENS",2018-01-23 11:52:19,2018-01-23 12:16:12,2018-01-23
Breast-Cancer-Screening-DBT,https://doi.org/10.7937/e4wt-cd02,Creative Commons Attribution-NonCommercial 4.0 International License,5060,5610,22032,22032,1637812393364,1.64 TB,BREAST,MG,"HOLOGIC, Inc.",2020-10-16 17:13:11,2021-03-31 12:16:02,"2020-10-16, 2021-03-23, 2021-03-24, 2021-03-31"
Breast-MRI-NACT-Pilot,"https://doi.org/10.7937/k9/tcia.2016.qhsyhjky, https://doi.org/10.7937/tcia.2019.wgllssg1",Creative Commons Attribution 3.0 Unported License,64,189,2791,99503,20237881206,20.24 GB,"BREAST, Not Specified","MR, SEG, SR","GE MEDICAL SYSTEMS, PixelMed",2016-01-22 20:37:34,2023-08-04 10:27:27,"2016-01-22, 2016-04-13, 2016-07-05, 2016-08-02, 2020-05-20, 2023-08-04"
Burdenko-GBM-Progression,https://doi.org/10.7937/e1qp-d183,TCIA Limited Access License,180,645,4956,344003,131228826732,131.23 GB,"Not Specified, HEAD, BRAIN, ABDOMEN","CT, MR, RTSTRUCT, RTDOSE, RTPLAN","GE MEDICAL SYSTEMS, TOSHIBA_MEC, SIEMENS, Philips Medical Systems, Varian Medical Systems, Medical Physics Center, CJSC NPF AZ, TOSHIBA, Hitachi Medical Corporation, HITACHI MEDICAL CORPORATION",2023-01-13 07:44:48,2023-03-30 15:05:19,"2023-01-13, 2023-02-01, 2023-03-30"
C4KC-KiTS,https://doi.org/10.7937/tcia.2019.ix49e8nx,Creative Commons Attribution 3.0 Unported License,210,210,621,71423,40722798026,40.72 GB,"ABDOMEN, KIDNEY, Not Specified, CHEST, ABDOMENPELVIS, CHESTABDPELVIS, WO INTER","CT, SEG","SIEMENS, Philips, GE MEDICAL SYSTEMS, TOSHIBA, QIICR",2020-06-17 15:29:03,2020-06-17 17:16:50,2020-06-17
CALGB50303,"https://doi.org/10.7937/cm65-a013, https://doi.org/10.7937/9jer-g980",NCTN Data Archive License,155,610,5021,513001,136292682226,136.29 GB,"ABDOMEN, Not Specified, NECK, PELVIS, CHEST, HEAD, LYMPH NODE, TONSIL, HEADNECK, PANCREAS, THYROID, PERIANAL, ADRENALGLAND, LOWERABDOMINAL, HIPBONE, THIGH, THORAX, UTERINE, ABDOMINALMUSCLE, NECKCHESTABDPELV, SCAPULABONE, TRACHEALLYMPH, CERVIX, INGUINALCANAL, PALATINETONSIL, PARATRACHEAL, SINUS, PARAAORTICLYMPH, INTESTINE, BLADDER, PARASPINAL, SCROTUM, SHOULDER, HIP, RIBBONE, PELVISBONE, THORACICCAGE, PHARYNGEAL, MUSCLE, BONE, PELVIC, CHESTABDOMEN, SCROTAL, MASS, HUMERUS, SIGMOIDCOLON, PORTALVAIN, ABDOMINALWALL, ADRENAL, TONSILLAR, KIDNEY, SACRUM, PERIAORTICLYMPH, PELVICLYMPH","CT, PT, OT, RTSTRUCT","SIEMENS / MIMvista, CPS / MIMvista, CPS, SIEMENS, GE MEDICAL SYSTEMS, GE MEDICAL SYSTEMS, NUCLEAR, Philips, Philips Medical Systems, Not Specified, Siemens, Open Health Imaging Foundation",2020-08-28 11:03:23,2023-03-29 22:01:22,"2020-08-28, 2020-08-30, 2020-08-31, 2020-09-03, 2020-09-11, 2023-03-29"
CBIS-DDSM,https://doi.org/10.7937/k9/tcia.2016.7o02s9cy,Creative Commons Attribution 3.0 Unported License,6671,6775,6775,10239,163512966728,163.51 GB,BREAST,MG,Not Specified,2016-08-01 01:17:56,2017-09-27 17:18:32,"2016-08-01, 2016-08-08, 2016-10-04, 2017-09-05, 2017-09-06, 2017-09-16, 2017-09-21, 2017-09-25, 2017-09-26, 2017-09-27"
CC-Radiomics-Phantom,https://doi.org/10.7937/k9/tcia.2017.zuzrml5b,Creative Commons Attribution 3.0 Unported License,17,17,51,2672,1431663758,1.43 GB,Phantom,"CT, RTSTRUCT","GE MEDICAL SYSTEMS, Philips, ADAC, TOSHIBA, SIEMENS",2017-07-11 17:28:02,2017-07-11 17:37:45,2017-07-11
CC-Radiomics-Phantom-2,https://doi.org/10.7937/tcia.2019.4l24tz5g,Creative Commons Attribution 3.0 Unported License,251,251,251,57839,30479900532,30.48 GB,"CHEST, Not Specified",CT,"SIEMENS, Philips, GE MEDICAL SYSTEMS",2019-02-21 16:05:49,2019-02-21 18:18:29,2019-02-21
CC-Radiomics-Phantom-3,https://doi.org/10.7937/tcia.2019.j71i4fah,Creative Commons Attribution 3.0 Unported License,95,113,550,25612,13439844698,13.44 GB,Not Specified,"RTSTRUCT, CT",Not Specified,2019-04-22 11:30:32,2019-04-22 13:37:15,2019-04-22
CC-Tumor-Heterogeneity,https://doi.org/10.7937/erz5-qz59,Creative Commons Attribution 4.0 International License,23,171,821,131556,28393594790,28.39 GB,PELVIS,"MR, PT, CT, RTSTRUCT, REG","GE MEDICAL SYSTEMS, SIEMENS, Philips Medical Systems, Philips, GE MEDICAL SYSTEMS / MIM Software, MIM Software Inc.",2022-03-16 10:59:04,2022-03-16 13:59:25,2022-03-16
CMB-AML,https://doi.org/10.7937/pcte-6m66,"TCIA Limited Access License, Creative Commons Attribution 4.0 International License",4,20,103,6426,2997477172,3.00 GB,"Not Specified, BRAIN, HEAD, CHEST","CT, MR, XA","GE MEDICAL SYSTEMS, Siemens Healthineers, Siemens, SIEMENS",2024-08-03 10:40:59,2024-08-16 02:07:04,"2024-08-03, 2024-08-10, 2024-08-15, 2024-08-16"
CMB-BRCA,https://doi.org/10.7937/dx22-8j71,Creative Commons Attribution 4.0 International License,1,6,59,7552,4459162210,4.46 GB,"ABDOMEN, CHEST",CT,SIEMENS,2024-12-05 18:43:28,2024-12-05 19:32:34,2024-12-05
CMB-CRC,https://doi.org/10.7937/djg7-gz87,"Creative Commons Attribution 4.0 International License, TCIA Limited Access License",33,280,1964,229508,137663459608,137.66 GB,"Not Specified, ABDOMEN, ABDOMENPELVIS, CHESTABDPELVIS, CSPINE, CHESTABDOMEN, WHOLEBODY, HEAD, CHEST, LSPINE, BRAIN, PELVIS, LIVER","CT, MR, PT, US, XA, DX, NM","GE MEDICAL SYSTEMS, SIEMENS, TOSHIBA, Canon Medical Systems, Hitachi, Ltd., GE Healthcare, CANON_MEC, TOSHIBA_MEC, Vital Images, Inc., Philips, Philips Medical Systems, GE Healthcare Surgery, Samsung Electronics, FUJIFILM Corporation, Canon Inc., Philips Healthcare, Bayer HealthCare LLC, Siemens Healthineers",2024-08-03 13:51:58,2024-08-16 02:07:08,"2024-08-03, 2024-08-10, 2024-08-15, 2024-08-16"
CMB-GEC,https://doi.org/10.7937/e7kh-r486,"TCIA Limited Access License, Creative Commons Attribution 4.0 International License",5,24,154,28054,14321099524,14.32 GB,"ABDOMEN, WHOLEBODY, Not Specified, CHEST","PT, CT, MR","SIEMENS, GE MEDICAL SYSTEMS, SIEMENS / MIM Software",2024-08-03 10:59:19,2024-08-16 02:07:07,"2024-08-03, 2024-08-09, 2024-08-10, 2024-08-15, 2024-08-16"
CMB-LCA,https://doi.org/10.7937/3cx3-s132,"Creative Commons Attribution 4.0 International License, TCIA Limited Access License",32,186,1348,156468,85891251798,85.89 GB,"ABDOMEN, CHESTABDOMEN, Not Specified, WHOLEBODY, PELVIS, HEAD, CHESTABDPELVIS, HEADNECK, BRAIN, NECK, SPINE, CHEST, ABDOMENPELVIS, LUNG, LSPINE, BODY, LEG, HIP","MR, PT, CT, NM, US, DX","SIEMENS, TOSHIBA, GE MEDICAL SYSTEMS, Canon Medical Systems, Philips, UIH, Philips Medical Systems, SIEMENS NM, Neusoft Medical Systems, GE Healthcare, Vital Images, Inc., FUJIFILM Corporation, Siemens Healthineers, Siemens, Philips Healthcare",2024-08-03 19:50:09,2024-12-05 20:29:44,"2024-08-03, 2024-08-09, 2024-08-10, 2024-08-15, 2024-08-16, 2024-12-05"
CMB-MEL,https://doi.org/10.7937/gwsp-wh72,"TCIA Limited Access License, Creative Commons Attribution 4.0 International License",29,151,964,176586,70973759970,70.97 GB,"ABDOMEN, CHEST, BRAIN, Not Specified, NECKCHESTABDPELV, CHESTABDPELVIS, WHOLEBODY, HEAD, ABDOMENPELVIS, LIVER, SPINE, CHESTABDOMEN, FOOT, NECK, NECKCHESTABDOME, NECKCHEST","CT, MR, PT, US","SIEMENS, Siemens Healthineers, TOSHIBA, Philips, GE MEDICAL SYSTEMS, Hitachi, Ltd., GE Healthcare",2024-08-03 22:40:45,2024-12-05 20:29:41,"2024-08-03, 2024-08-04, 2024-08-09, 2024-08-10, 2024-08-15, 2024-08-16, 2024-12-05"
CMB-MML,https://doi.org/10.7937/szkb-sw39,"TCIA Limited Access License, Creative Commons Attribution 4.0 International License",36,125,657,92641,32115724298,32.12 GB,"Not Specified, CHESTABDPELVIS, CSPINE, PELVIS, ABDOMEN, EXTREMITY, WHOLEBODY, LSPINE, HEAD, TSPINE, CHEST, BRAIN, SKULL, FEMUR","MR, CT, PT, XA, DX, CR","GE MEDICAL SYSTEMS, TOSHIBA, SIEMENS, Philips, Hitachi, Ltd., Siemens, Philips Medical Systems, Change Healthcare Canada Company, Siemens Healthineers, NMS, FUJIFILM Corporation, Philips Healthcare, GE Healthcare, CARESTREAM HEALTH",2024-08-04 01:58:49,2024-12-05 20:29:40,"2024-08-04, 2024-08-09, 2024-08-10, 2024-08-15, 2024-08-16, 2024-08-20, 2024-12-05"
CMB-PCA,https://doi.org/10.7937/25t7-6y12,"TCIA Limited Access License, Creative Commons Attribution 4.0 International License",10,47,294,27501,13730821278,13.73 GB,"HEAD, Not Specified, CHESTABDPELVIS, BRAIN, LSPINE, WHOLEBODY, CHEST, ABDOMEN, ABDOMENPELVIS, CHESTABDOMEN, TLSPINE","MR, CT, RF, PT, NM, DX","TOSHIBA, GE MEDICAL SYSTEMS, SIEMENS, GEMS, ""GE Healthcare"", Canon Medical Systems, Siemens, SIEMENS NM",2024-08-04 12:53:42,2024-12-05 20:29:42,"2024-08-04, 2024-08-10, 2024-08-15, 2024-08-16, 2024-12-05"
CMMD,https://doi.org/10.7937/tcia.eqde-4b16,Creative Commons Attribution 4.0 International License,1775,1775,1775,5202,22861926932,22.86 GB,BREAST,MG,Not Specified,2021-03-08 09:33:20,2021-03-08 09:43:00,2021-03-08
COVID-19-AR,https://doi.org/10.7937/tcia.2020.py71-5978,Creative Commons Attribution 4.0 International License,105,256,461,31935,19927664950,19.93 GB,"ABDOMENPELVIS, Not Specified, CHEST, CHESTABDPELVIS, CHESTABDOMEN, BLADDER, KIDNEY, ABDOMEN, PELVIS, THORAX","CT, CR, DX","Philips, FUJIFILM Corporation, Philips Medical Systems, KONICA MINOLTA, TOSHIBA",2020-07-11 16:43:52,2020-07-11 17:22:45,2020-07-11
COVID-19-NY-SBU,https://doi.org/10.7937/tcia.bbag-2923,Creative Commons Attribution 4.0 International License,1384,7361,17950,562376,511477801000,511.48 GB,"Not Specified, ABDOMEN, ABDOMENPELVIS, CHEST, CHESTABDPELVIS, KIDNEY","CT, MR, DX, CR, NM, SR, PT, OT","GE MEDICAL SYSTEMS, SIEMENS, TOSHIBA, Carestream, CARESTREAM HEALTH, SIEMENS NM, GE Medical Systems",2021-07-02 19:07:55,2021-07-07 13:53:52,"2021-07-02, 2021-07-03, 2021-07-06, 2021-07-07"
CPTAC-CCRCC,"https://doi.org/10.7937/k9/tcia.2018.oblamn27, https://doi.org/10.7937/skq4-qx48, https://doi.org/https://doi.org/10.7937/k9/tcia.2018.oblamn27","Creative Commons Attribution 3.0 Unported License, Creative Commons Attribution 4.0 International License",70,92,1451,105039,58679809916,58.68 GB,"ABDOMEN, CHEST, Not Specified, CHESTABDPELVIS, LIVER, ABDOMENPELVIC, NECKCHESTABDPELV, ABDOMEN CAVIT, HEADNECK, PELVIC, BONE, KIDNEY, ABDOMENPELVIS","CT, MR, CR, RTSTRUCT","SIEMENS, TOSHIBA, GE MEDICAL SYSTEMS, Philips, Philips Medical Systems, Vital Images, Inc., Open Health Imaging Foundation",2017-12-20 01:01:11,2024-05-09 14:33:28,"2017-12-20, 2018-04-18, 2018-04-20, 2018-06-21, 2019-03-23, 2019-06-21, 2019-06-27, 2019-06-28, 2019-09-10, 2019-09-23, 2023-06-22, 2023-08-11, 2024-03-29, 2024-05-09"
CPTAC-CM,https://doi.org/10.7937/k9/tcia.2018.odu24gze,Creative Commons Attribution 3.0 Unported License,13,19,186,32091,14864691144,14.86 GB,"Not Specified, BRAIN, ABDOMEN, CHESTABDPELVIS, WHOLEBODY, CHEST, PELVIS, CHESTABDOMEN","MR, CT, PT","GE MEDICAL SYSTEMS, Philips Medical Systems, Philips, TOSHIBA, Not Specified",2017-12-20 16:31:02,2020-06-15 10:27:23,"2017-12-20, 2018-06-21, 2019-06-28, 2019-12-09, 2020-03-09, 2020-03-17, 2020-06-15"
CPTAC-GBM,https://doi.org/10.7937/k9/tcia.2018.3rje41q1,TCIA Limited Access License,70,154,1835,162934,41099531068,41.10 GB,"ABDOMEN, CHEST, Not Specified, BRAIN, CAROTID, HEAD, SELLA","MR, CT","SIEMENS, GE MEDICAL SYSTEMS, Imaging Biometrics LLC, Philips Medical Systems, Not Specified, TOSHIBA_MEC, Philips",2017-12-20 01:39:10,2024-06-29 01:08:54,"2017-12-20, 2018-04-18, 2018-04-20, 2018-06-21, 2018-10-10, 2018-10-12, 2018-10-15, 2018-10-17, 2018-10-18, 2018-12-12, 2019-03-26, 2019-06-12, 2019-06-21, 2019-06-27, 2019-09-10, 2019-12-11, 2020-03-16, 2024-06-27, 2024-06-29"
CPTAC-HNSCC,"https://doi.org/10.7937/k9/tcia.2018.uw45nh81, https://doi.org/10.7937/pfec-t641",TCIA Limited Access License,137,389,3348,385015,207283906148,207.28 GB,"Not Specified, NECK, HEAD, HEADNECK, ABDOMEN, CHEST, CHESTABDPELVIS, Head-Neck, HEADNECKCHEST, WHOLEBODY, CHESTABDOMEN, SPINE, NECKCHEST, NECKCHESTABDPELV, NECKCHESTABDOME, BODY, ABDOMENPELVIS, LUNG","CT, MR, PT, RTSTRUCT","GE MEDICAL SYSTEMS, Not Specified, SIEMENS, Philips, TOSHIBA, TOSHIBA_MEC, Siemens Healthineers, SIEMENS / MIM Software, Philips Medical Systems, GE MEDICAL SYSTEMS / MIM Software, Hitachi Medical Corporation, Open Health Imaging Foundation, FUJIFILM Healthcare Corporation",2018-04-18 08:43:57,2024-10-31 16:46:34,"2018-04-18, 2018-04-20, 2018-10-10, 2019-03-23, 2019-06-26, 2019-06-28, 2019-09-19, 2019-09-20, 2019-12-10, 2019-12-11, 2019-12-18, 2020-03-23, 2020-06-10, 2023-02-07, 2023-02-08, 2023-02-14, 2023-07-13, 2023-07-28, 2023-08-02, 2023-08-11, 2023-09-12, 2023-09-15, 2024-01-09, 2024-03-29, 2024-10-31"
CPTAC-LSCC,https://doi.org/10.7937/k9/tcia.2018.6emub5l2,"Creative Commons Attribution 3.0 Unported License, TCIA Limited Access License",36,43,238,52019,30593092702,30.59 GB,"CHEST, Not Specified, CHESTABDPELVIS, CHESTABDOMEN, HEAD","CT, PT","SIEMENS, GE MEDICAL SYSTEMS, TOSHIBA, Hitachi Medical Corporation, Not Specified, Philips",2018-04-25 08:40:05,2020-10-27 15:06:43,"2018-04-25, 2018-06-21, 2019-03-23, 2019-03-26, 2019-06-26, 2019-06-28, 2019-09-20, 2019-12-09, 2020-03-10, 2020-06-09, 2020-06-17, 2020-10-27"
CPTAC-LUAD,https://doi.org/10.7937/k9/tcia.2018.pat12tbs,Creative Commons Attribution 3.0 Unported License,25,38,242,43333,28211624378,28.21 GB,"CHEST, Not Specified, LSSPINE, ABDOMEN","CT, MR, PT","SIEMENS, Siemens, GE MEDICAL SYSTEMS, Philips Medical Systems, Philips, Not Specified, Hitachi Medical Corporation",2017-12-20 01:27:37,2020-03-10 14:56:55,"2017-12-20, 2018-04-18, 2018-04-20, 2018-04-25, 2018-06-21, 2019-03-23, 2019-06-26, 2019-06-28, 2019-09-20, 2019-09-23, 2019-12-09, 2019-12-17, 2020-03-10"
CPTAC-PDA,"https://doi.org/10.7937/k9/tcia.2018.sc20fo18, https://doi.org/10.7937/bw9v-bx61","Creative Commons Attribution 3.0 Unported License, Creative Commons Attribution 4.0 International License",108,132,1654,131162,66061683102,66.06 GB,"ABDOMEN, CHEST, PANCREAS, Not Specified, J brzuszna, CHESTABDPELVIS, PELVIS, ABDOMENPELVIS, CHESTABDOMEN, NECKCHESTABDPELV","MR, CT, PT, US, RTSTRUCT","SIEMENS, Siemens, GE MEDICAL SYSTEMS, TOSHIBA, Philips, Not Specified, GE Healthcare, Open Health Imaging Foundation",2017-12-20 01:24:43,2023-08-02 08:47:12,"2017-12-20, 2018-04-18, 2018-04-20, 2018-06-21, 2018-07-06, 2019-03-26, 2019-06-18, 2019-06-21, 2019-09-10, 2019-09-19, 2019-09-20, 2019-09-23, 2019-09-25, 2019-12-10, 2020-03-10, 2020-03-17, 2020-09-18, 2020-09-28, 2021-01-14, 2023-02-08, 2023-07-03, 2023-08-02"
CPTAC-SAR,https://doi.org/10.7937/tcia.2019.9bt23r95,Creative Commons Attribution 3.0 Unported License,24,33,265,29595,15196915718,15.20 GB,"Not Specified, Pelvis, ABDOMEN, EXTREMITY, CHEST, WHOLEBODY","CT, MR, PT","Philips, SIEMENS, WDM, GE MEDICAL SYSTEMS, Not Specified",2019-03-26 23:00:01,2020-03-18 14:20:07,"2019-03-26, 2019-06-21, 2019-06-28, 2019-09-10, 2019-09-19, 2019-12-10, 2020-03-18"
CPTAC-UCEC,"https://doi.org/10.7937/k9/tcia.2018.3r3juisw, https://doi.org/10.7937/89m3-kq43","Creative Commons Attribution 3.0 Unported License, Creative Commons Attribution 4.0 International License",90,146,2576,187643,80279413094,80.28 GB,"CHEST, ABDOMEN, Not Specified, PELVIS, CHESTABDPELVIS, CHESTABDOMEN, ABDOMENPELVIS, NECKCHESTABDPELV, HEADNECK, NECKCHESTABDOME","CT, MR, PT, RTSTRUCT, US","SIEMENS, GE MEDICAL SYSTEMS, Not Specified, TOSHIBA, Open Health Imaging Foundation, ACUSON",2017-12-20 00:59:10,2024-03-29 20:09:38,"2017-12-20, 2018-04-18, 2018-06-21, 2018-10-10, 2018-10-12, 2019-06-26, 2019-06-28, 2019-09-19, 2019-09-20, 2019-09-25, 2020-03-25, 2020-05-14, 2021-05-18, 2023-07-14, 2023-07-17, 2023-07-21, 2023-08-14, 2023-08-15, 2023-08-17, 2024-03-29"
CT COLONOGRAPHY,https://doi.org/10.7937/k9/tcia.2015.nwtesay1,Creative Commons Attribution 3.0 Unported License,825,836,3451,941771,496672157794,496.67 GB,COLON,CT,"SIEMENS, GE MEDICAL SYSTEMS, Philips, Not Specified, TOSHIBA",2011-11-03 13:59:23,2011-11-07 13:21:07,"2011-11-03, 2011-11-04, 2011-11-05, 2011-11-06, 2011-11-07"
CT Lymph Nodes,https://doi.org/10.7937/k9/tcia.2015.aqiidcnm,Creative Commons Attribution 3.0 Unported License,176,176,352,110179,58415125292,58.42 GB,"ABDOMEN, MEDIASTINUM","CT, SEG","Not Specified, QIICR",2015-03-09 15:25:38,2023-03-17 13:06:44,"2015-03-09, 2015-03-10, 2015-03-11, 2015-03-12, 2015-08-05, 2023-03-17"
